"Country","FitW","FitW_score","IoEF","IoEF_score","PFI","PFI_score","DI","DI_score"
"NORWAY","free","100","mostly free","76.9","good","95.18","full democracy","9.81"
"IRELAND","free","97","free","82","good","89.91","full democracy","9.05"
"SWEDEN","free","100","mostly free","77.5","good","88.15","full democracy","9.26"
"FINLAND","free","100","mostly free","77.1","good","87.94","full democracy","9.2"
"DENMARK","free","97","mostly free","77.6","good","89.48","full democracy","9.15"
"SWITZERLAND","free","96","free","83.8","satisfactory","84.4","full democracy","8.83"
"NEW ZEALAND","free","99","mostly free","78.9","satisfactory","84.23","full democracy","9.25"
"NETHERLANDS","free","97","mostly free","78","good","87","full democracy","8.96"
"LUXEMBOURG","free","97","mostly free","78.4","satisfactory","81.98","full democracy","8.68"
"ESTONIA","free","94","mostly free","78.6","good","85.31","flawed democracy","7.84"
"CANADA","free","98","mostly free","73.7","satisfactory","83.53","full democracy","9.24"
"TAIWAN","free","94","free","80.7","satisfactory","75.54","full democracy","8.94"
"ICELAND","free","94","mostly free","72.2","satisfactory","83.19","full democracy","9.37"
"GERMANY","free","94","mostly free","73.7","satisfactory","81.91","full democracy","8.67"
"PORTUGAL","free","96","moderately free","69.5","satisfactory","84.6","flawed democracy","7.9"
"AUSTRALIA","free","95","mostly free","74.8","satisfactory","78.24","full democracy","8.96"
"CZECH REPUBLIC","free","92","mostly free","71.9","satisfactory","83.58","flawed democracy","7.67"
"LITHUANIA","free","89","mostly free","72.2","good","86.79","flawed democracy","7.13"
"LATVIA","free","88","mostly free","72.8","satisfactory","83.27","flawed democracy","7.24"
"UNITED KINGDOM","free","93","moderately free","69.9","satisfactory","78.51","full democracy","8.54"
"AUSTRIA","free","93","mostly free","71.1","satisfactory","77.3","full democracy","8.16"
"SLOVAKIA","free","90","moderately free","69","satisfactory","83.22","flawed democracy","6.97"
"BELGIUM","free","96","moderately free","67.1","satisfactory","76.47","flawed democracy","7.51"
"COSTA RICA","free","91","moderately free","66.5","satisfactory","80.2","full democracy","8.16"
"URUGUAY","free","96","mostly free","70.2","satisfactory","70.33","full democracy","8.61"
"SLOVENIA","free","95","moderately free","68.5","satisfactory","70.59","flawed democracy","7.54"
"CYPRUS","free","92","mostly free","72.3","problematic","68.62","flawed democracy","7.56"
"FRANCE","free","89","moderately free","63.6","satisfactory","78.72","flawed democracy","7.99"
"SPAIN","free","90","moderately free","65","satisfactory","75.37","full democracy","8.12"
"JAPAN","free","96","moderately free","69.3","problematic","63.95","full democracy","8.13"
"SOUTH KOREA","free","83","mostly free","73.7","satisfactory","70.83","full democracy","8.01"
"CHILE","free","94","mostly free","71.1","problematic","60.09","full democracy","8.28"
"UNITED STATES","free","83","mostly free","70.6","satisfactory","71.22","flawed democracy","7.92"
"ITALY","free","90","moderately free","62.3","satisfactory","72.05","flawed democracy","7.74"
"JAMAICA","free","80","moderately free","68.1","satisfactory","75.89","flawed democracy","7.13"
"MAURITIUS","free","85","mostly free","70.6","problematic","65.56","full democracy","8.14"
"CROATIA","free","84","moderately free","66.4","satisfactory","71.95","flawed democracy","6.5"
"TRINIDAD AND TOBAGO","free","82","mostly unfree","59.5","satisfactory","76.54","flawed democracy","7.16"
"MALTA","free","89","moderately free","67.5","problematic","59.76","flawed democracy","7.68"
"POLAND","free","81","moderately free","67.7","problematic","67.66","flawed democracy","6.85"
"ROMANIA","free","83","moderately free","64.5","problematic","69.04","flawed democracy","6.4"
"NAMIBIA","free","77","mostly unfree","57.7","satisfactory","80.91","flawed democracy","6.52"
"SOUTH AFRICA","free","79","mostly unfree","55.7","satisfactory","78.6","flawed democracy","7.05"
"BULGARIA","free","79","moderately free","69.3","problematic","62.98","flawed democracy","6.71"
"PANAMA","free","83","moderately free","63.8","problematic","63.67","flawed democracy","7.18"
"ARGENTINA","free","85","mostly unfree","51","satisfactory","73.36","flawed democracy","6.95"
"NORTH MACEDONIA","partly free","68","moderately free","63.7","satisfactory","74.35","hybrid regime","5.89"
"MONGOLIA","free","84","moderately free","61.7","problematic","59.33","flawed democracy","6.48"
"ISRAEL","free","77","moderately free","68.9","problematic","57.57","flawed democracy","7.84"
"TIMOR-LESTE","free","72","repressed","47.2","satisfactory","84.49","flawed democracy","7.06"
"GHANA","free","80","mostly unfree","58","problematic","65.93","flawed democracy","6.5"
"BOTSWANA","free","72","moderately free","64.9","problematic","64.61","flawed democracy","7.62"
"DOMINICAN REPUBLIC","partly free","68","moderately free","62.6","satisfactory","71.88","flawed democracy","6.32"
"MONTENEGRO","partly free","67","moderately free","60.9","satisfactory","74.28","hybrid regime","5.77"
"GREECE","free","86","mostly unfree","56.9","problematic","55.2","flawed democracy","7.39"
"MOLDOVA","partly free","62","mostly unfree","58.5","satisfactory","77.62","hybrid regime","5.78"
"GUYANA","free","73","mostly unfree","56.9","problematic","67.5","flawed democracy","6.01"
"SURINAME","free","79","repressed","46.1","satisfactory","70.62","flawed democracy","6.82"
"HUNGARY","partly free","66","moderately free","64.1","problematic","62.96","flawed democracy","6.56"
"ALBANIA","partly free","67","moderately free","65.3","problematic","57.86","flawed democracy","6.08"
"PERU","free","70","moderately free","66.5","difficult","52.74","flawed democracy","6.53"
"ARMENIA","partly free","54","moderately free","65.1","satisfactory","70.61","hybrid regime","5.35"
"GEORGIA","partly free","58","moderately free","68.7","problematic","61.69","hybrid regime","5.31"
"ECUADOR","free","70","mostly unfree","55","problematic","60.51","flawed democracy","6.13"
"BRAZIL","free","72","mostly unfree","53.5","problematic","58.67","flawed democracy","6.92"
"MALAYSIA","partly free","53","moderately free","67.3","problematic","62.83","flawed democracy","7.25"
"SERBIA","partly free","60","moderately free","63.5","problematic","59.16","flawed democracy","6.22"
"LESOTHO","partly free","66","mostly unfree","51.6","problematic","64.29","flawed democracy","6.3"
"PARAGUAY","partly free","65","moderately free","61","problematic","55.96","flawed democracy","6.18"
"SENEGAL","partly free","68","mostly unfree","57.7","problematic","55.82","hybrid regime","5.67"
"PAPUA NEW GUINEA","partly free","61","mostly unfree","51.7","problematic","67.62","flawed democracy","6.1"
"COLOMBIA","free","70","moderately free","63.1","difficult","45.23","flawed democracy","7.04"
"BHUTAN","partly free","61","mostly unfree","59","problematic","59.25","hybrid regime","5.71"
"MALAWI","partly free","66","mostly unfree","52.8","problematic","60.34","hybrid regime","5.74"
"SINGAPORE","partly free","47","free","83.9","difficult","47.88","flawed democracy","6.03"
"INDONESIA","partly free","58","moderately free","63.5","difficult","54.83","flawed democracy","6.3"
"C̫TE D'IVOIRE","partly free","49","moderately free","60.4","problematic","68.83","hybrid regime","4.11"
"MADAGASCAR","partly free","61","mostly unfree","58.9","problematic","56.66","hybrid regime","5.7"
"FIJI","partly free","59","mostly unfree","58","problematic","59.27","hybrid regime","5.72"
"THE GAMBIA","partly free","48","mostly unfree","57.9","satisfactory","71.06","hybrid regime","4.49"
"SIERRA LEONE","partly free","63","mostly unfree","50.2","problematic","62.55","hybrid regime","4.86"
"LIBERIA","partly free","60","repressed","49.6","problematic","64.34","hybrid regime","5.32"
"MEXICO","partly free","60","moderately free","63.2","difficult","47.98","flawed democracy","6.07"
"BENIN","partly free","59","mostly unfree","59.8","difficult","52.44","hybrid regime","4.58"
"NIGER","partly free","51","mostly unfree","53.7","problematic","66.84","authoritarian regime","3.29"
"NEPAL","partly free","58","mostly unfree","51.4","problematic","57.89","hybrid regime","5.22"
"PHILIPPINES","partly free","58","mostly unfree","59.3","difficult","46.21","flawed democracy","6.56"
"EL SALVADOR","partly free","56","mostly unfree","56","difficult","51.36","hybrid regime","5.9"
"ZAMBIA","partly free","54","repressed","47.8","problematic","59.41","hybrid regime","4.86"
"TUNISIA","partly free","56","mostly unfree","52.9","difficult","50.11","flawed democracy","6.59"
"BOLIVIA","partly free","66","repressed","43.4","difficult","51.09","hybrid regime","5.08"
"GUATEMALA","partly free","49","moderately free","62.7","difficult","48.12","hybrid regime","4.97"
"TOGO","partly free","42","mostly unfree","55.3","problematic","63.06","authoritarian regime","2.8"
"INDIA","partly free","66","mostly unfree","52.9","very serious","36.62","flawed democracy","6.61"
"COMOROS","partly free","42","mostly unfree","53.5","problematic","62.25","authoritarian regime","3.09"
"KENYA","partly free","52","mostly unfree","52.5","difficult","51.15","hybrid regime","5.05"
"SRI LANKA","partly free","54","mostly unfree","52.2","difficult","45.85","flawed democracy","6.14"
"BURKINA FASO","not free","30","mostly unfree","56.2","problematic","67.64","authoritarian regime","3.73"
"MOZAMBIQUE","partly free","45","mostly unfree","52.5","problematic","56.13","authoritarian regime","3.51"
"MAURITANIA","partly free","36","mostly unfree","55.3","problematic","59.45","authoritarian regime","3.92"
"QATAR","not free","25","moderately free","68.6","problematic","55.28","authoritarian regime","3.24"
"THAILAND","not free","30","moderately free","60.6","problematic","55.24","flawed democracy","6.04"
"GUINEA-BISSAU","partly free","43","repressed","44.6","problematic","61.57","authoritarian regime","2.63"
"NIGERIA","partly free","43","mostly unfree","53.9","difficult","49.56","hybrid regime","4.1"
"GUINEA","not free","30","mostly unfree","53.2","problematic","59.51","authoritarian regime","3.08"
"TANZANIA","partly free","36","moderately free","60","difficult","44.02","hybrid regime","5.1"
"HONDURAS","partly free","48","mostly unfree","58.7","very serious","32.65","hybrid regime","5.36"
"MOROCCO","partly free","37","mostly unfree","58.4","difficult","43.69","hybrid regime","5.04"
"LEBANON","partly free","43","repressed","45.6","difficult","50.46","hybrid regime","4.16"
"HAITI","not free","31","repressed","49.9","problematic","57.38","hybrid regime","4.22"
"MALI","not free","29","mostly unfree","54.5","difficult","52.29","authoritarian regime","3.93"
"JORDAN","not free","33","mostly unfree","58.8","difficult","42.79","authoritarian regime","3.62"
"GABON","not free","20","mostly unfree","56.1","problematic","58.12","authoritarian regime","3.54"
"UGANDA","not free","35","mostly unfree","51.4","difficult","46.08","hybrid regime","4.94"
"KYRGYZSTAN","not free","27","mostly unfree","55.8","difficult","49.91","hybrid regime","4.21"
"KUWAIT","partly free","37","mostly unfree","56.7","very serious","38.84","authoritarian regime","3.8"
"BANGLADESH","partly free","40","mostly unfree","54.4","very serious","35.31","hybrid regime","5.99"
"UNITED ARAB EMIRATES","not free","18","mostly free","70.9","difficult","42.99","authoritarian regime","2.7"
"KAZAKHSTAN","not free","23","moderately free","62.1","difficult","45.87","authoritarian regime","3.14"
"ANGOLA","not free","28","mostly unfree","53","difficult","48.3","authoritarian regime","3.66"
"PAKISTAN","partly free","37","repressed","49.4","very serious","39.95","hybrid regime","4.31"
"REPUBLIC OF THE CONGO","not free","17","repressed","48.1","problematic","60.42","authoritarian regime","3.11"
"ESWATINI","not free","17","mostly unfree","54.9","difficult","52.66","authoritarian regime","3.08"
"TURKEY","not free","32","mostly unfree","56.9","very serious","33.97","hybrid regime","4.48"
"CAMBODIA","not free","24","mostly unfree","56.5","difficult","42.02","authoritarian regime","3.1"
"RWANDA","not free","23","mostly unfree","52.2","difficult","46.58","authoritarian regime","3.1"
"ALGERIA","not free","32","repressed","43.2","difficult","45.74","authoritarian regime","3.77"
"OMAN","not free","24","mostly unfree","58.5","very serious","37.87","authoritarian regime","3"
"CHAD","not free","15","mostly unfree","52","difficult","53.73","authoritarian regime","1.55"
"ETHIOPIA","not free","21","repressed","48.3","difficult","47.7","authoritarian regime","3.38"
"DJIBOUTI","not free","24","mostly unfree","56.1","very serious","35.87","authoritarian regime","2.71"
"ZIMBABWE","not free","28","repressed","39","difficult","48.17","authoritarian regime","3.16"
"DEMOCRATIC REPUBLIC OF THE CONGO","not free","19","repressed","47.9","difficult","48.55","authoritarian regime","1.13"
"UZBEKISTAN","not free","12","mostly unfree","56.5","difficult","45.73","authoritarian regime","2.12"
"CAMEROON","not free","15","mostly unfree","51.9","difficult","45.58","authoritarian regime","2.77"
"NICARAGUA","not free","19","mostly unfree","54.9","very serious","37.09","authoritarian regime","3.6"
"AZERBAIJAN","not free","9","moderately free","61.4","very serious","39.93","authoritarian regime","2.68"
"BURUNDI","not free","14","repressed","41.9","difficult","52.14","authoritarian regime","2.14"
"CENTRAL AFRICAN REPUBLIC","not free","7","repressed","43.8","problematic","57.56","authoritarian regime","1.32"
"VIETNAM","not free","19","moderately free","61.8","very serious","24.58","authoritarian regime","2.94"
"RUSSIA","not free","16","mostly unfree","53.8","very serious","34.77","authoritarian regime","3.31"
"BAHRAIN","not free","12","moderately free","62.5","very serious","30.59","authoritarian regime","2.49"
"EQUATORIAL GUINEA","not free","5","repressed","48.3","difficult","50.35","authoritarian regime","1.92"
"EGYPT","not free","18","repressed","49.6","very serious","33.37","authoritarian regime","2.93"
"LAOS","not free","13","mostly unfree","50.3","very serious","36.66","authoritarian regime","1.77"
"SAUDI ARABIA","not free","8","mostly unfree","58.3","very serious","32.43","authoritarian regime","2.08"
"BELARUS","not free","8","mostly unfree","51","very serious","37.17","authoritarian regime","2.59"
"TAJIKISTAN","not free","7","mostly unfree","50.6","very serious","39.06","authoritarian regime","1.94"
"BURMA","not free","9","repressed","46.5","very serious","28.26","authoritarian regime","3.04"
"SUDAN","not free","10","repressed","32.8","difficult","40.83","authoritarian regime","2.54"
"CHINA","not free","9","repressed","48.3","very serious","22.97","authoritarian regime","2.27"
"IRAN","not free","12","repressed","42.2","very serious","24.81","authoritarian regime","2.2"
"VENEZUELA","not free","15","repressed","25.8","very serious","36.99","authoritarian regime","2.76"
"TURKMENISTAN","not free","2","repressed","46.5","very serious","25.82","authoritarian regime","1.72"
"ERITREA","not free","3","repressed","39.5","very serious","27.86","authoritarian regime","2.15"
"CUBA","not free","12","repressed","24.3","very serious","29","authoritarian regime","2.84"
"NORTH KOREA","not free","3","repressed","2.9","very serious","21.72","authoritarian regime","1.08"
